filename,transcript_perekaman,transcript_training
novita_f_20201030_00001_dongeng_yogyakarta,"Sungai Landak membentang di wilayah Kecamatan Ngabang, Kabupaten Landak, Provinsi Kalimantan Barat.",sungai landak membentang di wilayah kecamatan ngabang kabupaten landak provinsi kalimantan barat 
novita_f_20201030_00002_dongeng_yogyakarta,"Dahulu, sebelum menjadi sungai, daerah ini masih berupa tanah lapang.",dahulu sebelum menjadi sungai daerah ini masih berupa tanah lapang 
novita_f_20201030_00003_dongeng_yogyakarta,"Namun, karena suatu peristiwa, tanah lapang tersebut kemudian menjelma menjadi sungai.",namun karena suatu peristiwa tanah lapang tersebut kemudian menjelma menjadi sungai 
novita_f_20201030_00004_dongeng_yogyakarta,Peristiwa apakah itu? ,peristiwa apakah itu 
novita_f_20201030_00005_dongeng_yogyakarta,"Lalu, mengapa dinamakan Sungai Landak? ",lalu mengapa dinamakan sungai landak 
novita_f_20201030_00006_dongeng_yogyakarta,Jawabannya dapat Anda temukan dalam cerita Legenda Sungai Landak berikut ini.,jawabannya dapat anda temukan dalam cerita legenda sungai landak berikut ini 
novita_f_20201030_00007_dongeng_yogyakarta,"Dahulu, di sebuah desa yang terletak di pinggir hutan di pedalaman Kalimantan Barat, hiduplah sepasang suami", dahulu di sebuah desa yang terletak di pinggir hutan di pedalaman kalimantan barat hiduplah sepasang suami istri 
novita_f_20201030_00008_dongeng_yogyakarta,"Untuk memenuhi kebutuhan keluarganya, sehari-hari sang Suami bercocok tanam dengan menanam palawija di ladang.",untuk memenuhi kebutuhan keluarganya sehari hari sang suami bercocok tanam dengan menanam palawija di ladang 
novita_f_20201030_00009_dongeng_yogyakarta,"Suatu malam, ketika sang Istri sudah tidur dengan nyenyaknya, sang Suami masih terlihat gelisah.",suatu malam ketika sang istri sudah tidur dengan nyenyaknya sang suami masih terlihat gelisah 
novita_f_20201030_00010_dongeng_yogyakarta,"Sesekali ia miring ke kanan, sesaat kemudian miring lagi ke kiri.",sesekali ia miring ke kanan sesaat kemudian miring lagi ke kiri 
novita_f_20201030_00011_dongeng_yogyakarta,"Malam semakin larut, namun lelaki itu tetap tidak bisa memejamkan mata.",malam semakin larut namun lelaki itu tetap tidak bisa memejamkan mata 
novita_f_20201030_00012_dongeng_yogyakarta,Ia pun bangkit dari tidurnya lalu duduk di samping istrinya.,ia pun bangkit dari tidurnya lalu duduk di samping istrinya 
novita_f_20201030_00013_dongeng_yogyakarta,kenapa mataku sulit sekali kupejamkan? keluh petani itu ,kenapa mataku sulit sekali kupejamkan keluh petani itu 
novita_f_20201030_00014_dongeng_yogyakarta,Sesekali petani itu memandangi istrinya yang sudah terlelap.,sesekali petani itu memandangi istrinya yang sudah terlelap 
novita_f_20201030_00015_dongeng_yogyakarta,"Suatu ketika, saat menoleh ke arah istrinya, ia dikejutkan oleh sebuah peristiwa aneh pada istrinya.",suatu ketika saat menoleh ke arah istrinya ia dikejutkan oleh sebuah peristiwa aneh pada istrinya 
novita_f_20201030_00016_dongeng_yogyakarta,Kepala sang Istri mengeluarkan asap.,kepala sang istri mengeluarkan asap 
novita_f_20201030_00017_dongeng_yogyakarta,Kelabang itu kemudian merayap keluar dari rumahnya dan menuruni tangga.,kelabang itu kemudian merayap keluar dari rumahnya dan menuruni tangga 
novita_f_20201030_00018_dongeng_yogyakarta,"Tak berapa lama kemudian, kelabang itu sampai pada sebuah ceruk (lubang) yang digenangi air, tidak jauh dari rumahnya.",tak berapa lama kemudian kelabang itu sampai pada sebuah ceruk lubang yang digenangi air tidak jauh dari rumahnya 
novita_f_20201030_00019_dongeng_yogyakarta,"Si petani menunggu beberapa saat, namun kelabang itu tidak keluar lagi.",si petani menunggu beberapa saat namun kelabang itu tidak keluar lagi 
novita_f_20201030_00020_dongeng_yogyakarta,"Namun, hingga pagi hari, ia tetap tidak bisa tidur.",namun hingga pagi hari ia tetap tidak bisa tidur 
novita_f_20201030_00021_dongeng_yogyakarta,"Pada esok harinya, ia pun menceritakan peristiwa aneh yang dilihatnya semalam kepada sang Istri.",pada esok harinya ia pun menceritakan peristiwa aneh yang dilihatnya semalam kepada sang istri 
novita_f_20201030_00022_dongeng_yogyakarta,"apakah kamu merasakan kelabang itu keluar dari kepalamu? tanya sang Suami.Tidak, Kanda ",apakah kamu merasakan kelabang itu keluar dari kepalamu tanya sang suami tidak kanda 
novita_f_20201030_00023_dongeng_yogyakarta,"Di tengah danau, terlihat seekor landak yang sangat besar.",di tengah danau terlihat seekor landak yang sangat besar 
novita_f_20201030_00024_dongeng_yogyakarta,Bulunya bewarna kuning keemasan dan matanya tajam menyala.,bulunya bewarna kuning keemasan dan matanya tajam menyala 
novita_f_20201030_00025_dongeng_yogyakarta,"Belum lagi istrinya selesai bercerita, sang Suami menyelanya.",belum lagi istrinya selesai bercerita sang suami menyelanya 
novita_f_20201030_00026_dongeng_yogyakarta,"apa yang dinda lakukan? tanya sang Suami.Dinda sangat ketakutan, Kanda ",apa yang dinda lakukan tanya sang suami dinda sangat ketakutan kanda 
novita_f_20201030_00027_dongeng_yogyakarta,Landak raksasa itu hendak menerkam Dinda.,landak raksasa itu hendak menerkam dinda 
novita_f_20201030_00028_dongeng_yogyakarta,Ia bermaksud menangkap kelabang itu.,ia bermaksud menangkap kelabang itu 
novita_f_20201030_00029_dongeng_yogyakarta,"Kanda! seru sang Istri, Jangan sampai tersengat oleh kelabang itu ",kanda seru sang istri jangan sampai tersengat oleh kelabang itu 
novita_f_20201030_00030_dongeng_yogyakarta,"Racunnya sangat berbahaya.Baik, Dinda, jawab sang Suami.",racunnya sangat berbahaya baik dinda jawab sang suami 
novita_f_20201030_00031_dongeng_yogyakarta,Sang Suami kemudian memasukkan tangannya ke dalam ceruk itu.,sang suami kemudian memasukkan tangannya ke dalam ceruk itu 
novita_f_20201030_00032_dongeng_yogyakarta,"Beberapa saat kemudian, tangannya terasa menyentuh sebuah benda keras dan ujungnya runcing.",beberapa saat kemudian tangannya terasa menyentuh sebuah benda keras dan ujungnya runcing 
novita_f_20201030_00033_dongeng_yogyakarta,"Dengan hati-hati, ia mencoba memegang dan kemudian mengambil benda itu.",dengan hati hati ia mencoba memegang dan kemudian mengambil benda itu 
novita_f_20201030_00034_dongeng_yogyakarta,Alangkah terkejutnya mereka saat melihat benda itu yang ternyata sebuah patung landak emas.,alangkah terkejutnya mereka saat melihat benda itu yang ternyata sebuah patung landak emas 
novita_f_20201030_00035_dongeng_yogyakarta,Bentuknya sangat indah dan matanya terbuat dari berlian.,bentuknya sangat indah dan matanya terbuat dari berlian 
novita_f_20201030_00036_dongeng_yogyakarta,"Tapi, kita jangan tergesa-gesa menjualnya.",tapi kita jangan tergesa gesa menjualnya 
novita_f_20201030_00037_dongeng_yogyakarta,Biarlah kita simpan dulu.,biarlah kita simpan dulu 
novita_f_20201030_00038_dongeng_yogyakarta,"Siapa tahu kita mendapat petunjuk mengenai patung landak emas itu, ujar sang Suami.Benar perkiraan sang Suami.",siapa tahu kita mendapat petunjuk mengenai patung landak emas itu ujar sang suami benar perkiraan sang suami 
