filename,transcript_perekaman,transcript_training
rakagu_m_20201030_0001_wilayah1_semarang,Wilayah ACEH terletak di Indonesia ,wilayah aceh terletak di indonesia 
rakagu_m_20201030_0002_wilayah1_semarang,Wilayah SUMATERA UTARA terletak di Indonesia ,wilayah sumatera utara terletak di indonesia 
rakagu_m_20201030_0003_wilayah1_semarang,Wilayah SUMATERA BARAT terletak di Indonesia ,wilayah sumatera barat terletak di indonesia 
rakagu_m_20201030_0004_wilayah1_semarang,Wilayah RIAU terletak di Indonesia ,wilayah riau terletak di indonesia 
rakagu_m_20201030_0005_wilayah1_semarang,Wilayah JAMBI terletak di Indonesia ,wilayah jambi terletak di indonesia 
rakagu_m_20201030_0006_wilayah1_semarang,Wilayah SUMATERA SELATAN terletak di Indonesia ,wilayah sumatera selatan terletak di indonesia 
rakagu_m_20201030_0007_wilayah1_semarang,Wilayah BENGKULU terletak di Indonesia ,wilayah bengkulu terletak di indonesia 
rakagu_m_20201030_0008_wilayah1_semarang,Wilayah LAMPUNG terletak di Indonesia ,wilayah lampung terletak di indonesia 
rakagu_m_20201030_0009_wilayah1_semarang,Wilayah KEPULAUAN BANGKA BELITUNG terletak di Indonesia ,wilayah kepulauan bangka belitung terletak di indonesia 
rakagu_m_20201030_0010_wilayah1_semarang,Wilayah KEPULAUAN RIAU terletak di Indonesia ,wilayah kepulauan riau terletak di indonesia 
rakagu_m_20201030_0011_wilayah1_semarang,Wilayah DKI JAKARTA terletak di Indonesia ,wilayah dki jakarta terletak di indonesia 
rakagu_m_20201030_0012_wilayah1_semarang,Wilayah JAWA BARAT terletak di Indonesia ,wilayah jawa barat terletak di indonesia 
rakagu_m_20201030_0013_wilayah1_semarang,Wilayah JAWA TENGAH terletak di Indonesia ,wilayah jawa tengah terletak di indonesia 
rakagu_m_20201030_0014_wilayah1_semarang,Wilayah DI YOGYAKARTA terletak di Indonesia ,wilayah di yogyakarta terletak di indonesia 
rakagu_m_20201030_0015_wilayah1_semarang,Wilayah JAWA TIMUR terletak di Indonesia ,wilayah jawa timur terletak di indonesia 
rakagu_m_20201030_0016_wilayah1_semarang,Wilayah BANTEN terletak di Indonesia ,wilayah banten terletak di indonesia 
rakagu_m_20201030_0017_wilayah1_semarang,Wilayah BALI terletak di Indonesia ,wilayah bali terletak di indonesia 
rakagu_m_20201030_0018_wilayah1_semarang,Wilayah NUSA TENGGARA BARAT terletak di Indonesia ,wilayah nusa tenggara barat terletak di indonesia 
rakagu_m_20201030_0019_wilayah1_semarang,Wilayah NUSA TENGGARA TIMUR terletak di Indonesia ,wilayah nusa tenggara timur terletak di indonesia 
rakagu_m_20201030_0020_wilayah1_semarang,Wilayah KALIMANTAN BARAT terletak di Indonesia ,wilayah kalimantan barat terletak di indonesia 
rakagu_m_20201030_0021_wilayah1_semarang,Wilayah KALIMANTAN TENGAH terletak di Indonesia ,wilayah kalimantan tengah terletak di indonesia 
rakagu_m_20201030_0022_wilayah1_semarang,Wilayah KALIMANTAN SELATAN terletak di Indonesia ,wilayah kalimantan selatan terletak di indonesia 
rakagu_m_20201030_0023_wilayah1_semarang,Wilayah KALIMANTAN TIMUR terletak di Indonesia ,wilayah kalimantan timur terletak di indonesia 
rakagu_m_20201030_0024_wilayah1_semarang,Wilayah KALIMANTAN UTARA terletak di Indonesia ,wilayah kalimantan utara terletak di indonesia 
rakagu_m_20201030_0025_wilayah1_semarang,Wilayah SULAWESI UTARA terletak di Indonesia ,wilayah sulawesi utara terletak di indonesia 
rakagu_m_20201030_0026_wilayah1_semarang,Wilayah SULAWESI TENGAH terletak di Indonesia ,wilayah sulawesi tengah terletak di indonesia 
rakagu_m_20201030_0027_wilayah1_semarang,Wilayah SULAWESI SELATAN terletak di Indonesia ,wilayah sulawesi selatan terletak di indonesia 
rakagu_m_20201030_0028_wilayah1_semarang,Wilayah SULAWESI TENGGARA terletak di Indonesia ,wilayah sulawesi tenggara terletak di indonesia 
rakagu_m_20201030_0029_wilayah1_semarang,Wilayah GORONTALO terletak di Indonesia ,wilayah gorontalo terletak di indonesia 
rakagu_m_20201030_0030_wilayah1_semarang,Wilayah SULAWESI BARAT terletak di Indonesia ,wilayah sulawesi barat terletak di indonesia 
rakagu_m_20201030_0031_wilayah1_semarang,Wilayah MALUKU terletak di Indonesia ,wilayah maluku terletak di indonesia 
rakagu_m_20201030_0032_wilayah1_semarang,Wilayah MALUKU UTARA terletak di Indonesia ,wilayah maluku utara terletak di indonesia 
rakagu_m_20201030_0033_wilayah1_semarang,Wilayah PAPUA BARAT terletak di Indonesia ,wilayah papua barat terletak di indonesia 
rakagu_m_20201030_0034_wilayah1_semarang,Wilayah PAPUA terletak di Indonesia ,wilayah papua terletak di indonesia 
rakagu_m_20201030_0035_wilayah1_semarang,Wilayah KABUPATEN SIMEULUE terletak di Indonesia ,wilayah kabupaten simeulue terletak di indonesia 
rakagu_m_20201030_0036_wilayah1_semarang,Wilayah KABUPATEN ACEH SINGKIL terletak di Indonesia ,wilayah kabupaten aceh singkil terletak di indonesia 
rakagu_m_20201030_0037_wilayah1_semarang,Wilayah KABUPATEN ACEH SELATAN terletak di Indonesia ,wilayah kabupaten aceh selatan terletak di indonesia 
rakagu_m_20201030_0038_wilayah1_semarang,Wilayah KABUPATEN ACEH TENGGARA terletak di Indonesia ,wilayah kabupaten aceh tenggara terletak di indonesia 
rakagu_m_20201030_0039_wilayah1_semarang,Wilayah KABUPATEN ACEH TIMUR terletak di Indonesia ,wilayah kabupaten aceh timur terletak di indonesia 
rakagu_m_20201030_0040_wilayah1_semarang,Wilayah KABUPATEN ACEH TENGAH terletak di Indonesia ,wilayah kabupaten aceh tengah terletak di indonesia 
rakagu_m_20201030_0041_wilayah1_semarang,Wilayah KABUPATEN ACEH BARAT terletak di Indonesia ,wilayah kabupaten aceh barat terletak di indonesia 
rakagu_m_20201030_0042_wilayah1_semarang,Wilayah KABUPATEN ACEH BESAR terletak di Indonesia ,wilayah kabupaten aceh besar terletak di indonesia 
rakagu_m_20201030_0043_wilayah1_semarang,Wilayah KABUPATEN PIDIE terletak di Indonesia ,wilayah kabupaten pidie terletak di indonesia 
rakagu_m_20201030_0044_wilayah1_semarang,Wilayah KABUPATEN BIREUEN terletak di Indonesia ,wilayah kabupaten bireuen terletak di indonesia 
rakagu_m_20201030_0045_wilayah1_semarang,Wilayah KABUPATEN ACEH UTARA terletak di Indonesia ,wilayah kabupaten aceh utara terletak di indonesia 
rakagu_m_20201030_0046_wilayah1_semarang,Wilayah KABUPATEN ACEH BARAT DAYA terletak di Indonesia ,wilayah kabupaten aceh barat daya terletak di indonesia 
rakagu_m_20201030_0047_wilayah1_semarang,Wilayah KABUPATEN GAYO LUES terletak di Indonesia ,wilayah kabupaten gayo lues terletak di indonesia 
rakagu_m_20201030_0048_wilayah1_semarang,Wilayah KABUPATEN ACEH TAMIANG terletak di Indonesia ,wilayah kabupaten aceh tamiang terletak di indonesia 
rakagu_m_20201030_0049_wilayah1_semarang,Wilayah KABUPATEN NAGAN RAYA terletak di Indonesia ,wilayah kabupaten nagan raya terletak di indonesia 
rakagu_m_20201030_0050_wilayah1_semarang,Wilayah KABUPATEN ACEH JAYA terletak di Indonesia ,wilayah kabupaten aceh jaya terletak di indonesia 
rakagu_m_20201030_0051_wilayah1_semarang,Wilayah KABUPATEN BENER MERIAH terletak di Indonesia ,wilayah kabupaten bener meriah terletak di indonesia 
rakagu_m_20201030_0052_wilayah1_semarang,Wilayah KABUPATEN PIDIE JAYA terletak di Indonesia ,wilayah kabupaten pidie jaya terletak di indonesia 
rakagu_m_20201030_0053_wilayah1_semarang,Wilayah KOTA BANDA ACEH terletak di Indonesia ,wilayah kota banda aceh terletak di indonesia 
rakagu_m_20201030_0054_wilayah1_semarang,Wilayah KOTA SABANG terletak di Indonesia ,wilayah kota sabang terletak di indonesia 
rakagu_m_20201030_0055_wilayah1_semarang,Wilayah KOTA LANGSA terletak di Indonesia ,wilayah kota langsa terletak di indonesia 
rakagu_m_20201030_0056_wilayah1_semarang,Wilayah KOTA LHOKSEUMAWE terletak di Indonesia ,wilayah kota lhokseumawe terletak di indonesia 
rakagu_m_20201030_0057_wilayah1_semarang,Wilayah KOTA SUBULUSSALAM terletak di Indonesia ,wilayah kota subulussalam terletak di indonesia 
rakagu_m_20201030_0058_wilayah1_semarang,Wilayah KABUPATEN NIAS terletak di Indonesia ,wilayah kabupaten nias terletak di indonesia 
rakagu_m_20201030_0059_wilayah1_semarang,Wilayah KABUPATEN MANDAILING NATAL terletak di Indonesia ,wilayah kabupaten mandailing natal terletak di indonesia 
rakagu_m_20201030_0060_wilayah1_semarang,Wilayah KABUPATEN TAPANULI SELATAN terletak di Indonesia ,wilayah kabupaten tapanuli selatan terletak di indonesia 
rakagu_m_20201030_0061_wilayah1_semarang,Wilayah KABUPATEN TAPANULI TENGAH terletak di Indonesia ,wilayah kabupaten tapanuli tengah terletak di indonesia 
rakagu_m_20201030_0062_wilayah1_semarang,Wilayah KABUPATEN TAPANULI UTARA terletak di Indonesia ,wilayah kabupaten tapanuli utara terletak di indonesia 
rakagu_m_20201030_0063_wilayah1_semarang,Wilayah KABUPATEN TOBA SAMOSIR terletak di Indonesia ,wilayah kabupaten toba samosir terletak di indonesia 
rakagu_m_20201030_0064_wilayah1_semarang,Wilayah KABUPATEN LABUHAN BATU terletak di Indonesia ,wilayah kabupaten labuhan batu terletak di indonesia 
rakagu_m_20201030_0065_wilayah1_semarang,Wilayah KABUPATEN ASAHAN terletak di Indonesia ,wilayah kabupaten asahan terletak di indonesia 
rakagu_m_20201030_0066_wilayah1_semarang,Wilayah KABUPATEN SIMALUNGUN terletak di Indonesia ,wilayah kabupaten simalungun terletak di indonesia 
rakagu_m_20201030_0067_wilayah1_semarang,Wilayah KABUPATEN DAIRI terletak di Indonesia ,wilayah kabupaten dairi terletak di indonesia 
rakagu_m_20201030_0068_wilayah1_semarang,Wilayah KABUPATEN KARO terletak di Indonesia ,wilayah kabupaten karo terletak di indonesia 
rakagu_m_20201030_0069_wilayah1_semarang,Wilayah KABUPATEN DELI SERDANG terletak di Indonesia ,wilayah kabupaten deli serdang terletak di indonesia 
rakagu_m_20201030_0070_wilayah1_semarang,Wilayah KABUPATEN LANGKAT terletak di Indonesia ,wilayah kabupaten langkat terletak di indonesia 
rakagu_m_20201030_0071_wilayah1_semarang,Wilayah KABUPATEN NIAS SELATAN terletak di Indonesia ,wilayah kabupaten nias selatan terletak di indonesia 
rakagu_m_20201030_0072_wilayah1_semarang,Wilayah KABUPATEN HUMBANG HASUNDUTAN terletak di Indonesia ,wilayah kabupaten humbang hasundutan terletak di indonesia 
rakagu_m_20201030_0073_wilayah1_semarang,Wilayah KABUPATEN PAKPAK BHARAT terletak di Indonesia ,wilayah kabupaten pakpak bharat terletak di indonesia 
rakagu_m_20201030_0074_wilayah1_semarang,Wilayah KABUPATEN SAMOSIR terletak di Indonesia ,wilayah kabupaten samosir terletak di indonesia 
rakagu_m_20201030_0075_wilayah1_semarang,Wilayah KABUPATEN SERDANG BEDAGAI terletak di Indonesia ,wilayah kabupaten serdang bedagai terletak di indonesia 
rakagu_m_20201030_0076_wilayah1_semarang,Wilayah KABUPATEN BATU BARA terletak di Indonesia ,wilayah kabupaten batu bara terletak di indonesia 
